S/N,Warehouse,Order date,Delivery date,Customer,Zipcode
1,Butler,03/01/2021 13:44,03/01/2021 18:39,8240,15317
2,McKees Rocks,04/01/2021 06:26,04/01/2021 15:28,484,15102
3,Butler,04/01/2021 06:29,04/01/2021 19:29,13512,15301
4,Butler,04/01/2021 07:31,04/01/2021 15:59,11326,15228
5,Butler,04/01/2021 19:12,04/02/2021 16:10,13306,15301
6,Washington,05/01/2021 01:13,05/03/2021 17:21,16232,15218
7,Butler,05/01/2021 01:21,05/03/2021 16:22,14544,15102
8,Butler,06/01/2021 07:24,06/02/2021 16:42,7679,15044
9,McKees Rocks,06/01/2021 07:55,06/01/2021 12:52,8240,15317
10,Butler,06/01/2021 08:02,06/02/2021 16:42,3139,15044
11,Washington,06/01/2021 12:45,06/02/2021 16:59,17477,15102
12,McKees Rocks,06/01/2021 16:44,06/02/2021 17:25,12386,15236
13,Butler,06/01/2021 20:48,06/03/2021 14:34,11067,15301
14,Butler,06/01/2021 21:10,06/02/2021 16:42,12392,15017
15,Washington,06/01/2021 21:35,06/02/2021 16:44,2956,15241
16,McKees Rocks,06/01/2021 21:35,06/02/2021 16:44,2956,15241
17,Butler,06/01/2021 21:45,06/02/2021 17:11,14650,15102
18,Butler,06/01/2021 23:20,06/03/2021 14:34,232,15301
19,Butler,07/01/2021 11:46,07/03/2021 18:00,3139,15044
20,Butler,07/01/2021 20:05,07/02/2021 12:37,9032,15241
21,Washington,07/01/2021 20:07,07/02/2021 12:38,9032,15241
22,Butler,09/01/2021 00:44,09/02/2021 20:03,17087,15367
23,Butler,09/01/2021 06:21,09/03/2021 20:47,3139,15044
24,Butler,09/01/2021 06:41,09/02/2021 20:03,23907,15216
25,Washington,09/01/2021 07:31,09/02/2021 20:03,2223,15317
26,Butler,09/01/2021 11:39,09/02/2021 20:03,13957,15220
27,McKees Rocks,09/01/2021 11:40,09/02/2021 20:03,13957,15220
28,McKees Rocks,09/01/2021 13:09,09/03/2021 20:47,24342,15237
29,Beaver,09/01/2021 21:13,09/03/2021 17:25,8240,15317
